번호,주차스티커,색상,차종
0114,있음(황색),흰색,레이 
0136,있음(황색),흰색,C36 아우디
0159,있음(황색),베이지,모닝
0211,없음,검정계열,크루즈
0212,있음(황색),검정계열,크루즈
0227,있음(황색),흰색,K7
0285,있음(황색),검정계열,임팔라쉐보레
0307,있음(황색),검정계열,제네시스
0430,있음(황색),흰색,소나타
0448,있음(황색),검정계열,니로
0460,없음,검정계열,K7
0476,있음(황색),검정계열,레이
0520,있음(황색),검정계열,카니발
0539,교회차량,은_회색,스타렉스
0547,없음(확인),흰색,모닝
0560,있음(황색),검정계열,쏘렌토
0563,있음(황색),흰색,스파크
0585,있음(황색),검정계열,소렌토
0627,확인필요,검정계열,디스커버리
0636,있음(황색),은_회색,SM5
0661,있음(황색),검정계열,SM6
0702,확인필요,흰색,k3
0757,확인필요,흰색,k3
0759,있음(황색),청색계열,소나타
0767,없음,은_회색,Benz
0841,있음(황색),흰색,아이오닉
0892,있음(흰색),검정계열,티볼리
0905,있음(황색),검정계열,말리부
0982,있음(황색),은_회색,투산
1045,있음(황색),검정계열,G90
1130,있음(황색),검정계열,투산
1138,확인필요,흰색,그랜저
1178,있음(황색),흰색,넥소
